gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_min,gyro_x_energy,gyro_x_entropy,gyro_x_dominant_freq,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_min,gyro_y_energy,gyro_y_entropy,gyro_y_dominant_freq,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_min,gyro_z_energy,gyro_z_entropy,gyro_z_dominant_freq,accel_x_mean,accel_x_std,accel_x_max,accel_x_min,accel_x_energy,accel_x_entropy,accel_x_dominant_freq,accel_y_mean,accel_y_std,accel_y_max,accel_y_min,accel_y_energy,accel_y_entropy,accel_y_dominant_freq,accel_z_mean,accel_z_std,accel_z_max,accel_z_min,accel_z_energy,accel_z_entropy,accel_z_dominant_freq,label
23925129.72,13001350.261672473,34961832.0,329771.0,7.41446940745518e+16,2.0716309447923877,20.5,28850873.55,55713438.89952858,391603068.0,-16335878.0,3.9363601786095936e+17,2.910630248006547,20.5,-102574887.93,151448212.30872315,-129771.0,-488549632.0,3.345816864536014e+18,2.9538794526701326,20.5,-16226210.64,58038411.73189758,175781252.0,-366210936.0,3.631747148094916e+17,2.9395403794813326,1.0,61975322.2,107339621.84111735,461425784.0,46875.0,1.5362734978787889e+18,2.909071882300333,5.0,120210988.09,252332206.2806799,876464832.0,859375.0,7.812222398404974e+18,2.9621959653958876,16.0,0
24941786.34,34512045.428412825,339694668.0,329771.0,1.8131739854830406e+17,2.8347475016855257,9.0,28110418.61,52269986.26574315,391603068.0,300.0,3.5223470986504115e+17,2.87177621602259,6.0,-102566414.34,146488099.00903922,-259542.0,-480916032.0,3.197863250184664e+18,2.953612027580949,4.5,-26305402.06,29795171.123107173,-3125.0,-214843736.0,1.5797263997934915e+17,2.8147737802244643,16.5,48515381.03,83057824.2648173,461425784.0,390625.0,9.252344368091355e+17,2.8993819271154035,2.0,129462121.43,262184708.25004572,873535168.0,859375.0,8.550126212531766e+18,2.9629004765388176,16.5,0
28564686.89,46321392.86766395,339694668.0,329771.0,2.961612774324206e+17,2.832513667135294,12.5,28799110.27,48152651.36529732,336641232.0,300.0,3.148066585851489e+17,2.8431748960316585,14.0,-121239544.68,159784047.35530227,-259542.0,-480916032.0,4.0229968983455196e+18,2.954064254143808,14.5,-37412042.98,63657965.585314386,-3125.0,-476074216.0,5.451997542398438e+17,2.898385397305408,18.0,59592041.09,102183946.31583391,476074216.0,390625.0,1.3992770245949476e+18,2.8990952948349737,13.0,112618757.16,239617728.58987096,871582032.0,859375.0,7.009964031883213e+18,2.9623461357725955,14.5,0
26360992.17,33914540.85545312,337404568.0,3076336.0,1.845097989623e+17,2.821894208747196,23.5,29979664.3,46070207.654275365,339694668.0,-9389313.0,3.021244304848747e+17,2.8893017787247963,9.5,-121881301.24,164757869.13229108,-129771.0,-488549632.0,4.200020703296877e+18,2.9512563311074103,19.5,-51038664.81,92851249.71532822,-625.0,-554199232.0,1.1226299879285768e+18,2.938306486814373,24.0,59180156.26,102998911.32791713,476074216.0,46875.0,1.4111066629694152e+18,2.90741595541409,23.5,98430311.85,213527827.02058756,869384768.0,859375.0,5.528265920302222e+18,2.962359998922158,18.0,0
25992290.08,34313625.54647265,341221368.0,3076336.0,1.8530240417464058e+17,2.825839063790882,15.0,31569343.37,47361576.51782341,339694668.0,-9389313.0,3.239742371066604e+17,2.8955554473274945,9.5,-137522065.0,174757017.95666695,-129771.0,-488549632.0,4.945233368697103e+18,2.958519828851784,17.0,-47624553.49,93149850.75329608,-625.0,-617675768.0,1.0944992790483206e+18,2.9466822212071184,7.5,46752158.15,82078329.7055562,476074216.0,46875.0,8.922616498936599e+17,2.913976872609516,2.0,161900837.98,296707483.3752622,869384768.0,857666.0,1.1424721202950775e+19,2.9657305964525293,18.5,0
32882626.13,55594223.55480177,343511468.0,329771.0,4.171984793866635e+17,2.835370222841346,2.0,40069207.95,75766345.91973497,366412232.0,-23740458.0,7.346080599769281e+17,2.9078597613237958,22.5,-113869239.73,162497051.154004,54198476.0,-488549632.0,3.9371495390435205e+18,2.9569126719428516,17.5,-52826391.22,118711007.10027297,-637207.0,-617675768.0,1.688293081608955e+18,2.94150640528682,22.0,59842734.27,105702021.45246433,476074216.0,46875.0,1.4754070184047058e+18,2.9117760192187916,9.5,162882803.53,296665187.3663423,871582032.0,857666.0,1.1454104108089954e+19,2.965560178931245,18.5,0
24721534.55,52230667.909976795,343511468.0,-74656488.0,3.339196940829123e+17,2.939084243686239,9.0,41984841.3,140911659.08693236,790076336.0,-389312984.0,2.161882256561803e+18,2.9791697047450834,21.5,-43841161.6,113980820.32136305,60305348.0,-473282468.0,1.4913674851568166e+18,2.949692249723195,0.5,-36557480.11,113544857.22725773,199218752.0,-617675768.0,1.422888395475139e+18,2.9703573822394205,0.5,43529594.7,96175417.1971478,476074216.0,-126953128.0,1.11445364877917e+18,2.948927918431724,0.5,139095736.48,276320799.41081804,996582032.0,873291.0,9.570080809394715e+18,2.970467127132801,18.0,0
35131656.58,129888031.9680998,732824436.0,-107404584.0,1.8105134142601172e+18,2.9694116226246527,25.0,19127889.6,151526217.7634594,790076336.0,-419847336.0,2.3326070830249114e+18,2.981890048788133,19.0,8088801.79,71945002.18403776,679389336.0,-64351144.0,5.241512053659106e+17,2.9541013551175093,9.0,-7512021.5,63092054.13147924,199218752.0,-214111332.0,4.0370377615459686e+17,2.9516813501837817,8.5,15970751.88,35318899.1631264,146484368.0,-126953128.0,1.502489553707614e+17,2.9320592060898636,11.0,124171713.32,267825084.0291831,996582032.0,857666.0,8.714889002406322e+18,2.967723317758638,4.5,1
36153282.99,172674743.56555426,779389336.0,-729007636.0,3.1123626936384947e+18,2.982570762010673,25.0,5346912.56,126341783.3922434,721374036.0,-458015268.0,1.5990835704656837e+18,2.9790894565353296,8.0,18285748.14,114994559.27372424,726717536.0,-142595432.0,1.355811724759759e+18,2.96592463195769,8.5,-11472729.51,62859990.56828877,146484368.0,-198730468.0,4.0830019366549786e+17,2.9499450172938997,8.5,17862524.23,40967963.91632419,253906252.0,-64697268.0,1.9974438393165776e+17,2.9453405739010914,15.5,110237437.64,247673279.94832307,931884736.0,857666.0,7.349434625779331e+18,2.9644407517601556,3.5,1
5954970.69,150430773.25327706,779389336.0,-729007636.0,2.266487921749762e+18,2.982097249155942,11.5,16514617.82,131361713.03602831,725190836.0,-458015268.0,1.7528632253500518e+18,2.9781484133667355,25.0,13743074.37,94681857.51938513,726717536.0,-142595432.0,9.153526236460497e+17,2.965086421541419,8.5,-14493920.69,62123634.74229459,146484368.0,-214843736.0,4.0694197305620416e+17,2.935332545537718,8.5,8438720.66,47449527.28912324,253906252.0,-253906252.0,2.322669646338761e+17,2.9511980119662633,10.0,156249022.09,301521709.2097157,992431632.0,826416.0,1.153290980288297e+19,2.9707244032722855,25.0,1
239344.61,127478210.57620631,678625968.0,-717557236.0,1.6250751457553935e+18,2.978881025398393,7.0,26769664.22,125512466.8802185,745801536.0,-396946584.0,1.6469994264809492e+18,2.9792570484033134,14.0,4524288.3,40442479.06573032,224427484.0,-75267176.0,1.6560632976035517e+17,2.91484610148812,8.5,4305483.14,93908062.00487597,766601536.0,-214843736.0,8.837261294580456e+17,2.9706877890168064,8.5,-8862109.41,76536426.65523604,476074216.0,-461425784.0,5.936361588347139e+17,2.9686118162966038,24.0,151721882.3,299512178.429745,992431632.0,78125.0,1.1272707459638645e+19,2.969594963383671,21.5,1
32594908.71,153545891.32961375,774809136.0,-717557236.0,2.4638768818018785e+18,2.9821585620291025,16.5,14355725.77,123694465.79075874,745801536.0,-674809136.0,1.5506407729644623e+18,2.9818041772776085,3.0,9771579.59,128634318.27139074,717557236.0,-690076336.0,1.6642271604829156e+18,2.9790515824865107,24.5,11837298.49,88334685.48714471,766601536.0,-114746092.0,7.943138295654131e+17,2.9660546051755974,8.5,-29500292.84,86994139.82109724,476074216.0,-461425784.0,8.43824764085837e+17,2.9672493965030573,24.0,125270041.04,269610356.5229316,980468736.0,78125.0,8.838232752658554e+18,2.9674787505320563,15.0,1
57666937.94,179261306.18963313,774809136.0,-343511468.0,3.5460091628189215e+18,2.980506608999319,10.0,19094175.2,136552590.27693415,754198436.0,-674809136.0,1.9011197437908544e+18,2.980818341428626,9.5,12470899.47,138256234.93725562,717557236.0,-690076336.0,1.927030983261647e+18,2.979858596747091,3.5,8172186.77,60792690.06673528,461425784.0,-114746092.0,3.762535802153898e+17,2.955275788779628,8.0,-45515630.78,99928882.35688038,17822266.0,-732421868.0,1.2057454174396518e+18,2.9578211075202834,5.5,155374621.28,292997633.8257762,980468736.0,826416.0,1.0998888636540707e+19,2.9711239213171035,2.0,1
43097823.96,200547767.54401577,793893168.0,-977099264.0,4.2076829496975734e+18,2.9848118721990105,10.0,26042540.98,131700461.28841738,758015236.0,-314427484.0,1.8023225444276905e+18,2.975059345461719,3.5,302701.97,113037379.36893651,488549632.0,-768702268.0,1.2777540763079516e+18,2.978678960903606,2.5,14706171.75,71854824.21122631,461425784.0,-104003908.0,5.379387249966733e+17,2.9539864756595913,24.0,256634.34,124809698.50742796,539550768.0,-732421868.0,1.5577526702699535e+18,2.979266156832701,0.5,128057568.22,257771477.78909805,952148432.0,6899414.0,8.284487553999542e+18,2.9678360208476184,21.5,1
13469748.64,159351120.733403,793893168.0,-977099264.0,2.557421380741636e+18,2.985280857639825,13.0,12108503.51,93757104.4927155,758015236.0,-314427484.0,8.937010500109652e+17,2.9721744442109457,8.0,-5691602.72,101434177.46981564,391603068.0,-768702268.0,1.0321286700500361e+18,2.9753017243031317,13.0,-1341725.29,109098657.34414254,383300768.0,-922851568.0,1.1904317261048448e+18,2.9805371480278633,13.0,34027968.45,84400919.64349465,539550768.0,-52734376.0,8.281417873501837e+17,2.9603708731272578,2.0,50746282.39642361,130760807.10254115,820068336.0,5.642361111,1.967357385116555e+18,2.951622497117232,25.0,10
6068292.4,54575558.95980311,225190832.0,-244274816.0,3.015315808426844e+17,2.9539961102499284,11.5,7704717.69,49006582.19047813,274427484.0,-135801532.0,2.4610077726746874e+17,2.947110310990101,12.0,8584991.82,99384833.58505908,716793836.0,-391603068.0,9.951047231279355e+17,2.9766641520442043,24.0,-5998214.39,123665124.91799633,732421868.0,-922851568.0,1.532904169685204e+18,2.983581530523273,23.0,4821767.59,129016256.82966423,952148432.0,-554199232.0,1.666844396902986e+18,2.981032501351815,11.0,42868990.14642361,113124501.60064845,864501936.0,5.642361111,1.4634903178569283e+18,2.95513871438561,24.5,10
9810216.26,94116959.04952005,731297736.0,-358854968.0,8.954242323796998e+17,2.972341126461267,17.0,-5093495.99,81616920.39563401,86259544.0,-741984736.0,6.687265396267402e+17,2.967783889928563,11.0,12166716.75,107017468.25227268,716793836.0,-391603068.0,1.1600767507600924e+18,2.97668362139279,14.5,16458774.44,139521268.41824323,732421868.0,-383300768.0,1.9737075597102282e+18,2.9784964037830286,5.5,-12844594.81,149027605.69482803,952148432.0,-732421868.0,2.2374210874966218e+18,2.983686163947428,17.0,57501981.53,161160403.62666136,945068336.0,78125.0,2.927915357698487e+18,2.9595207977174747,6.0,10
4973855.24,119457914.65117216,731297736.0,-358854968.0,1.4294932608755205e+18,2.9727008293335917,22.5,8804419.48,129541315.9516709,754198436.0,-741984736.0,1.685847034087043e+18,2.984129425580959,10.5,-2386076.58,103924453.25646614,488549632.0,-690076336.0,1.0805985346101039e+18,2.9763602542204213,15.0,17051325.52,146164947.54611734,732421868.0,-539550768.0,2.1654939593148242e+18,2.980189506325514,16.0,-1743657.68,123136664.38090853,766601536.0,-732421868.0,1.516567845696154e+18,2.9813343909602246,18.0,60418740.86,173562924.68593562,945068336.0,78125.0,3.377451307264359e+18,2.9566443000238065,8.5,10
-8835396.64,119999714.83366933,729007636.0,-758015236.0,1.4477995793948083e+18,2.9804673417718996,11.0,17527274.24,113250849.4146793,754198436.0,-380916032.0,1.3132960235430533e+18,2.975202235661845,11.0,-15174679.49,109131724.59624408,488549632.0,-690076336.0,1.214000421097469e+18,2.9761432980580955,23.5,-6928532.7,118266511.56527337,554199232.0,-539550768.0,1.403497232319391e+18,2.9785464606125247,11.5,7445546.45,104161236.5524419,766601536.0,-397949216.0,1.0904999362072864e+18,2.9741112958776292,11.5,56103162.64642361,165742393.4062857,976318336.0,5.642361111,3.061810583097504e+18,2.9595103198743855,25.0,10
